date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:58	135/135	---M-Z	200	added ('OK')	text/plain	date:Fri,%2021%20Apr%202023%2017:39:02%20GMT	https://demo.themovation.com/robots.txt		(from )
14:04:59	237310/237310	---M-Z	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:04:58%20GMT	https://demo.themovation.com/stratus/home-design-agency/	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/home-design-agency/index.html	(from )
14:04:59	6511/6511	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Aug%202023%2022:47:33%20GMT	https://demo.themovation.com/stratus/wp-content/uploads/2020/12/Circle-bg.svg	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/wp-content/uploads/2020/12/Circle-bg.svg	(from https://demo.themovation.com/stratus/home-design-agency/)
14:05:00	52422/52422	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2022:47:37%20GMT	https://demo.themovation.com/stratus/wp-content/plugins/formidable/css/formidableforms1.css?ver=461821	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/wp-content/plugins/formidable/css/formidableforms127c4.css	(from https://demo.themovation.com/stratus/home-design-agency/)
14:05:01	0/0	---M--	301	error ('Moved%20Permanently')	application/rss+xml	etag:%22d00e5a7e0caad2770db8b58b39c8c54b%22	https://demo.themovation.com/stratus//feed/	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/feed/index.html	(from https://demo.themovation.com/stratus/home-design-agency/)
14:05:01	8974/8974	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d00e5a7e0caad2770db8b58b39c8c54b-gzip%22	https://demo.themovation.com/stratus/comments/feed/	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/comments/feed/index.html	(from https://demo.themovation.com/stratus/home-design-agency/)
14:05:02	53575/53575	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2022:47:37%20GMT	https://demo.themovation.com/stratus/wp-content/plugins/th-widget-pack/assets/icons/icons.css?ver=2.2.5	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/wp-content/plugins/th-widget-pack/assets/icons/icons5bf8.css	(from https://demo.themovation.com/stratus/home-design-agency/)
14:05:02	2623/2623	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2022:47:37%20GMT	https://demo.themovation.com/stratus/wp-content/plugins/th-widget-pack/css/global.css?ver=1692053257	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/wp-content/plugins/th-widget-pack/css/global4f5b.css	(from https://demo.themovation.com/stratus/home-design-agency/)
14:05:03	97517/97517	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2022:47:32%20GMT	https://demo.themovation.com/stratus/wp-includes/css/dist/block-library/style.min.css?ver=6.2.6	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/wp-includes/css/dist/block-library/style.min4118.css	(from https://demo.themovation.com/stratus/home-design-agency/)
14:05:04	10435/10435	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2022:47:38%20GMT	https://demo.themovation.com/stratus/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.6.6	/Users/emmanuel/websites/precision/demo.themovation.com/stratus/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style174f.css	(from https://demo.themovation.com/stratus/home-design-agency/)
